code,name,value
11250,Gangdong-gu,19.3
11240,Songpa-gu,15.4
11230,Gangnam-gu,15.8
11220,Seocho-gu,13.3
11210,Gwanak-gu,18.8
11200,Dongjak-gu,16.8
11190,Yeongdeungpo-gu,17.1
11180,Geumcheon-gu,20
11170,Guro-gu,16.6
11160,Gangseo-gu,18.1
11150,Yangcheon-gu,16.2
11140,Mapo-gu,17.6
11130,Seodaemun-gu,18.3
11120,Eunpyeong-gu,16
11110,Nowon-gu,20.6
11100,Dobong-gu,17.2
11090,Gangbuk-gu,21.7
11080,Seongbuk-gu,18.6
11070,Jungnang-gu,20.9
11060,Dongdaemun-gu,19.1
11050,Gwangjin-gu,22.1
11040,Seongdong-gu,20.2
11030,Yongsan-gu,12.1
11020,Jung-gu,18
11010,Jongno-gu,19.5
